Project_ID,Year,CO2_Reduction_Tons
P018100,2019,3555
P018101,2022,3582
P018102,2020,2585
P018103,2019,3985
P018104,2024,2633
P018105,2020,4366
P018106,2020,3909
P018107,2023,4438
P018108,2018,4552
P018109,2022,2138
P018110,2021,2715
P018111,2018,4846
P018112,2018,4524
P018113,2023,2245
P018114,2023,875
P018115,2020,1060
P018116,2021,1319
P018117,2018,155
P018118,2020,2997
P018119,2022,4321
P018120,2023,2263
P018121,2022,1132
P018122,2019,4186
P018123,2018,2796
P018124,2024,3492
P018125,2022,3654
P018126,2023,2870
P018127,2022,627
P018128,2022,963
P018129,2019,2313
P018130,2021,3121
P018131,2021,1447
P018132,2018,1889
P018133,2021,263
P018134,2018,2297
P018135,2020,881
P018136,2022,3216
P018137,2019,2364
P018138,2018,4037
P018139,2022,4356
P018140,2018,3062
P018141,2019,2109
P018142,2024,265
P018143,2022,4664
P018144,2024,1971
P018145,2022,3695
P018146,2021,1579
P018147,2023,1046
P018148,2020,4389
P018149,2019,2088
P018150,2022,94
P018151,2021,3220
P018152,2018,3594
P018153,2024,133
P018154,2023,1525
P018155,2023,1978
P018156,2019,4839
P018157,2020,4916
P018158,2021,3703
P018159,2024,4594
P018160,2019,4683
P018161,2018,74
P018162,2021,145
P018163,2022,1605
P018164,2021,265
P018165,2024,984
P018166,2021,204
P018167,2021,546
P018168,2018,3615
P018169,2021,1266
P018170,2019,346
P018171,2021,3627
P018172,2022,3320
P018173,2022,3115
P018174,2020,3994
P018175,2020,271
P018176,2022,1992
P018177,2023,2367
P018178,2023,3145
P018179,2023,3015
P018180,2019,1761
P018181,2018,4654
P018182,2022,328
P018183,2018,3339
P018184,2021,679
P018185,2022,1501
P018186,2024,1297
P018187,2018,3451
P018188,2022,2385
P018189,2024,2432
P018190,2020,1931
P018191,2020,1029
P018192,2021,145
P018193,2024,3692
P018194,2018,1645
P018195,2018,1321
P018196,2020,1840
P018197,2022,2628
P018198,2022,2741
P018199,2024,2139
P018200,2018,3716
P018201,2018,2011
P018202,2020,1044
P018203,2024,2479
P018204,2022,4278
P018205,2019,2026
P018206,2023,4884
P018207,2019,282
P018208,2018,2122
P018209,2022,3523
P018210,2018,3759
P018211,2021,4677
P018212,2024,4375
P018213,2018,323
P018214,2021,4802
P018215,2023,1607
P018216,2023,2386
P018217,2019,532
P018218,2020,327
P018219,2024,4152
P018220,2019,2484
P018221,2024,2550
P018222,2024,3027
P018223,2020,1756
P018224,2020,839
P018225,2018,1264
P018226,2021,1659
P018227,2022,647
P018228,2024,4840
P018229,2020,948
P018230,2019,1895
P018231,2019,3871
P018232,2020,129
P018233,2019,1075
P018234,2020,196
P018235,2023,2297
P018236,2023,2327
P018237,2022,470
P018238,2021,1672
P018239,2020,2123
P018240,2019,4215
P018241,2019,3915
P018242,2020,3863
P018243,2021,4199
P018244,2021,144
P018245,2019,4132
P018246,2020,1862
P018247,2024,808
P018248,2023,946
P018249,2018,176
P018250,2022,2384
P018251,2019,1283
P018252,2020,4068
P018253,2024,4029
P018254,2024,4046
P018255,2021,1030
P018256,2022,3502
P018257,2022,3880
P018258,2018,427
P018259,2024,1860
P018260,2024,4251
P018261,2024,3594
P018262,2018,3274
P018263,2023,190
P018264,2022,914
P018265,2022,4503
P018266,2024,1832
P018267,2021,3521
P018268,2019,3406
P018269,2022,117
P018270,2021,4650
P018271,2023,289
P018272,2020,3915
P018273,2021,2745
P018274,2023,3140
P018275,2020,2865
P018276,2022,2670
P018277,2024,2346
P018278,2024,4310
P018279,2024,2196
P018280,2020,3949
P018281,2020,3188
P018282,2021,268
P018283,2022,4384
P018284,2019,4435
P018285,2023,3217
P018286,2024,3324
P018287,2020,4635
P018288,2018,4146
P018289,2020,4697
P018290,2021,4070
P018291,2022,2166
P018292,2020,4159
P018293,2018,3567
P018294,2024,1190
P018295,2020,3515
P018296,2022,4886
P018297,2022,2006
P018298,2022,4980
P018299,2022,443
P018300,2019,112
P018301,2019,2495
P018302,2019,1971
P018303,2018,4761
P018304,2020,476
P018305,2023,341
P018306,2018,966
P018307,2020,3497
P018308,2024,1255
P018309,2019,670
P018310,2018,2528
P018311,2019,1486
P018312,2023,778
P018313,2024,3479
P018314,2020,2556
P018315,2020,1401
P018316,2018,378
P018317,2018,3983
P018318,2019,4214
P018319,2020,1094
P018320,2020,4435
P018321,2022,1984
P018322,2021,463
P018323,2020,3217
P018324,2021,1127
P018325,2020,3860
P018326,2024,3652
P018327,2021,3246
P018328,2023,1926
P018329,2024,159
P018330,2023,143
P018331,2024,337
P018332,2021,3893
P018333,2019,352
P018334,2021,3099
P018335,2021,440
P018336,2023,4950
P018337,2023,4194
P018338,2021,1463
P018339,2024,2280
P018340,2023,2855
P018341,2023,2168
P018342,2021,4089
P018343,2019,3156
P018344,2023,3981
P018345,2021,525
P018346,2024,484
P018347,2020,4177
P018348,2018,2222
P018349,2019,3530
P018350,2024,4528
P018351,2022,2286
P018352,2019,1890
P018353,2021,1276
P018354,2018,2603
P018355,2022,1209
P018356,2018,1970
P018357,2022,229
P018358,2021,1444
P018359,2024,4568
P018360,2019,4399
P018361,2021,4820
P018362,2023,4339
P018363,2020,1477
P018364,2022,2966
P018365,2020,3840
P018366,2021,487
P018367,2021,2786
P018368,2019,573
P018369,2023,1650
P018370,2019,2647
P018371,2023,3635
P018372,2018,1412
P018373,2022,2419
P018374,2021,566
P018375,2021,535
P018376,2024,1883
P018377,2024,4323
P018378,2023,2751
P018379,2024,4768
P018380,2023,2043
P018381,2018,1737
P018382,2021,3260
P018383,2022,3208
P018384,2020,3290
P018385,2020,320
P018386,2021,3024
P018387,2022,73
P018388,2021,4998
P018389,2021,2885
P018390,2020,995
P018391,2023,1430
P018392,2018,4623
P018393,2020,4912
P018394,2022,4702
P018395,2024,1906
P018396,2024,4730
P018397,2023,3999
P018398,2020,119
P018399,2019,2976
P018400,2020,1281
P018401,2024,2294
P018402,2024,699
P018403,2020,845
P018404,2018,3673
P018405,2019,1635
P018406,2019,1121
P018407,2023,3349
P018408,2021,974
P018409,2024,1310
P018410,2022,1877
P018411,2021,1092
P018412,2024,1942
P018413,2022,2693
P018414,2019,3723
P018415,2023,3965
P018416,2024,4265
P018417,2024,3323
P018418,2020,1067
P018419,2022,3306
P018420,2024,1885
P018421,2019,4159
P018422,2022,3483
P018423,2022,4802
P018424,2024,2747
P018425,2022,2884
P018426,2024,1806
P018427,2023,2070
P018428,2019,4442
P018429,2023,2866
P018430,2022,3708
P018431,2020,3245
P018432,2018,3372
P018433,2023,2295
P018434,2021,1476
P018435,2021,1753
P018436,2018,4744
P018437,2022,2218
P018438,2022,3331
P018439,2020,2005
P018440,2021,1017
P018441,2021,4570
P018442,2024,980
P018443,2024,1638
P018444,2020,3174
P018445,2019,1584
P018446,2020,2879
P018447,2022,3417
P018448,2023,967
P018449,2019,3185
P018450,2018,90
P018451,2020,2909
P018452,2020,511
P018453,2022,2239
P018454,2020,3593
P018455,2021,2459
P018456,2020,4848
P018457,2023,3402
P018458,2020,1065
P018459,2022,1835
P018460,2019,2658
P018461,2024,1960
P018462,2024,3960
P018463,2020,571
P018464,2018,2814
P018465,2023,2974
P018466,2024,4689
P018467,2018,3753
P018468,2020,95
P018469,2021,3913
P018470,2022,4100
P018471,2024,483
P018472,2020,2431
P018473,2018,4091
P018474,2024,3658
P018475,2023,4727
P018476,2020,2844
P018477,2018,4515
P018478,2019,3972
P018479,2021,2785
P018480,2019,945
P018481,2023,554
P018482,2020,2904
P018483,2022,580
P018484,2020,4010
P018485,2022,2246
P018486,2021,2654
P018487,2020,1392
P018488,2021,4664
P018489,2024,968
P018490,2023,1858
P018491,2023,3996
P018492,2023,1150
P018493,2019,510
P018494,2024,4575
P018495,2019,3172
P018496,2018,3722
P018497,2019,3377
P018498,2018,3172
P018499,2024,3931
P018500,2022,4897
P018501,2021,2505
P018502,2023,85
P018503,2018,1770
P018504,2023,3250
P018505,2021,3922
P018506,2021,4713
P018507,2019,3847
P018508,2023,2452
P018509,2024,733
P018510,2019,3224
P018511,2023,1079
P018512,2021,4970
P018513,2020,2455
P018514,2024,4877
P018515,2024,622
P018516,2024,474
P018517,2019,461
P018518,2024,1277
P018519,2022,3535
P018520,2019,4368
P018521,2018,563
P018522,2021,4416
P018523,2022,3800
P018524,2020,3411
P018525,2021,3404
P018526,2024,2411
P018527,2019,872
P018528,2022,2129
P018529,2023,2951
P018530,2021,563
P018531,2020,4966
P018532,2019,1278
P018533,2020,259
P018534,2022,2903
P018535,2023,1005
P018536,2021,4629
P018537,2024,1679
P018538,2020,1771
P018539,2023,3279
P018540,2020,1286
P018541,2021,4445
P018542,2023,2237
P018543,2020,4565
P018544,2020,2417
P018545,2018,462
P018546,2020,251
P018547,2020,4660
P018548,2019,1980
P018549,2019,4304
P018550,2018,1697
P018551,2021,631
P018552,2024,1618
P018553,2020,4493
P018554,2024,689
P018555,2018,1097
P018556,2018,1034
P018557,2023,1464
P018558,2018,840
P018559,2018,1549
P018560,2022,1597
P018561,2020,1450
P018562,2020,2726
P018563,2019,4858
P018564,2021,2466
P018565,2018,3341
P018566,2022,3581
P018567,2020,581
P018568,2022,1311
P018569,2022,305
P018570,2019,2311
P018571,2021,330
P018572,2022,1097
P018573,2024,1743
P018574,2018,481
P018575,2021,2925
P018576,2024,252
P018577,2020,4672
P018578,2021,408
P018579,2022,617
P018580,2022,4515
P018581,2020,4961
P018582,2023,3156
P018583,2023,4460
P018584,2020,2506
P018585,2019,376
P018586,2021,3054
P018587,2019,1993
P018588,2023,3983
P018589,2022,3129
P018590,2023,3563
P018591,2022,2666
P018592,2024,2606
P018593,2021,1018
P018594,2021,64
P018595,2024,4446
P018596,2022,1559
P018597,2020,2897
P018598,2021,393
P018599,2022,2200
P018600,2019,1512
P018601,2022,630
P018602,2022,3153
P018603,2023,3843
P018604,2021,3689
P018605,2021,3134
P018606,2018,1045
P018607,2024,113
P018608,2020,3152
P018609,2018,3861
P018610,2022,3025
P018611,2024,4283
P018612,2020,2584
P018613,2018,746
P018614,2020,4314
P018615,2023,1959
P018616,2021,4166
P018617,2023,4065
P018618,2018,4979
P018619,2020,2669
P018620,2022,1023
P018621,2024,1997
P018622,2021,4083
P018623,2020,4092
P018624,2021,3522
P018625,2023,4223
P018626,2020,1588
P018627,2019,677
P018628,2021,3133
P018629,2018,3935
P018630,2022,757
P018631,2018,2243
P018632,2019,4492
P018633,2021,2844
P018634,2018,774
P018635,2019,1829
P018636,2019,2540
P018637,2024,2264
P018638,2018,2235
P018639,2022,3232
P018640,2018,1261
P018641,2021,2437
P018642,2023,969
P018643,2021,4339
P018644,2018,3781
P018645,2020,1006
P018646,2024,739
P018647,2021,2259
P018648,2024,4698
P018649,2019,504
P018650,2022,4378
P018651,2018,4306
P018652,2019,2123
P018653,2023,4425
P018654,2023,538
P018655,2022,2537
P018656,2020,4412
P018657,2022,3015
P018658,2020,4666
P018659,2020,4223
P018660,2020,4837
P018661,2019,585
P018662,2021,4049
P018663,2018,1058
P018664,2019,2319
P018665,2018,4549
P018666,2018,4832
P018667,2020,2297
P018668,2022,4970
P018669,2018,4076
P018670,2024,3361
P018671,2018,3238
P018672,2019,1411
P018673,2022,3253
P018674,2018,1552
P018675,2021,411
P018676,2021,2223
P018677,2021,1529
P018678,2023,172
P018679,2022,3083
P018680,2018,949
P018681,2019,2654
P018682,2021,1478
P018683,2019,3838
P018684,2024,1296
P018685,2019,4652
P018686,2018,2193
P018687,2019,1751
P018688,2019,3835
P018689,2018,3939
P018690,2020,618
P018691,2024,4592
P018692,2020,2509
P018693,2021,3255
P018694,2024,2261
P018695,2022,143
P018696,2024,3805
P018697,2023,3765
P018698,2023,733
P018699,2020,2405
P018700,2023,2009
P018701,2021,3108
P018702,2024,4277
P018703,2023,760
P018704,2020,4921
P018705,2019,3017
P018706,2023,3657
P018707,2020,2645
P018708,2021,3333
P018709,2021,1173
P018710,2023,1260
P018711,2023,4216
P018712,2020,3039
P018713,2019,1979
P018714,2022,1000
P018715,2021,4800
P018716,2024,865
P018717,2021,2627
P018718,2024,2807
P018719,2019,1665
P018720,2022,3692
P018721,2020,4090
P018722,2024,4712
P018723,2023,2953
P018724,2021,1643
P018725,2023,3057
P018726,2022,1775
P018727,2020,3578
P018728,2024,629
P018729,2024,1998
P018730,2020,3859
P018731,2018,317
P018732,2018,4498
P018733,2024,4055
P018734,2019,4473
P018735,2024,3740
P018736,2023,729
P018737,2022,2624
P018738,2019,2607
P018739,2020,708
P018740,2021,4360
P018741,2018,4844
P018742,2022,583
P018743,2022,4932
P018744,2021,319
P018745,2021,3449
P018746,2022,1374
P018747,2018,4079
P018748,2021,1007
P018749,2021,442
P018750,2019,2855
P018751,2018,2482
P018752,2018,2620
P018753,2020,2353
P018754,2022,4945
P018755,2021,1476
P018756,2021,1072
P018757,2023,3585
P018758,2018,684
P018759,2019,3102
P018760,2021,572
P018761,2018,615
P018762,2021,4581
P018763,2019,3138
P018764,2020,1140
P018765,2023,680
P018766,2022,1084
P018767,2019,720
P018768,2024,4894
P018769,2023,2379
P018770,2018,585
P018771,2023,384
P018772,2024,2249
P018773,2023,2744
P018774,2022,1423
P018775,2018,835
P018776,2018,1043
P018777,2023,2265
P018778,2023,2151
P018779,2024,2083
P018780,2018,2474
P018781,2020,1186
P018782,2018,1946
P018783,2020,3445
P018784,2022,2332
P018785,2024,4967
P018786,2018,1953
P018787,2018,4959
P018788,2021,3777
P018789,2024,3736
P018790,2022,1303
P018791,2024,4118
P018792,2021,319
P018793,2024,3826
P018794,2023,4036
P018795,2018,419
P018796,2018,248
P018797,2024,3814
P018798,2018,4422
P018799,2018,3794
P018800,2020,4147
P018801,2019,2865
P018802,2023,2138
P018803,2024,2689
P018804,2024,4287
P018805,2018,1299
P018806,2024,4538
P018807,2019,2250
P018808,2019,4959
P018809,2021,2394
P018810,2022,2491
P018811,2020,4469
P018812,2020,2341
P018813,2019,4169
P018814,2019,54
P018815,2020,590
P018816,2019,4730
P018817,2020,3267
P018818,2018,2595
P018819,2023,4258
P018820,2022,1230
P018821,2020,4221
P018822,2019,4331
P018823,2022,3809
P018824,2024,2478
P018825,2019,138
P018826,2021,4592
P018827,2018,1705
P018828,2024,3508
P018829,2022,4169
P018830,2023,591
P018831,2023,4489
P018832,2018,1126
P018833,2021,1816
P018834,2020,1285
P018835,2023,4519
P018836,2019,495
P018837,2020,2748
P018838,2020,3281
P018839,2024,1941
P018840,2018,1551
P018841,2024,3519
P018842,2021,3635
P018843,2018,862
P018844,2023,2685
P018845,2022,4105
P018846,2023,1394
P018847,2022,149
P018848,2023,3811
P018849,2021,1907
P018850,2024,3102
P018851,2019,4097
P018852,2020,579
P018853,2023,2211
P018854,2019,2776
P018855,2021,2197
P018856,2023,3764
P018857,2023,176
P018858,2022,2077
P018859,2018,2165
P018860,2019,4926
P018861,2024,272
P018862,2020,603
P018863,2023,948
P018864,2020,1235
P018865,2024,2241
P018866,2024,3938
P018867,2021,2670
P018868,2022,3529
P018869,2020,2001
P018870,2022,654
P018871,2023,746
P018872,2019,1622
P018873,2022,2299
P018874,2022,2776
P018875,2019,2097
P018876,2023,1801
P018877,2023,2520
P018878,2022,338
P018879,2024,509
P018880,2023,3471
P018881,2019,1248
P018882,2024,761
P018883,2022,4499
P018884,2020,658
P018885,2019,4444
P018886,2019,855
P018887,2019,595
P018888,2020,3182
P018889,2024,1072
P018890,2021,2147
P018891,2018,4037
P018892,2019,2888
P018893,2022,4342
P018894,2023,656
P018895,2020,3696
P018896,2019,3356
P018897,2024,240
P018898,2022,474
P018899,2023,715
P018900,2021,3691
P018901,2024,1098
P018902,2022,3823
P018903,2018,4267
P018904,2023,1927
P018905,2020,1042
P018906,2020,1590
P018907,2024,4274
P018908,2024,4385
P018909,2022,2011
P018910,2020,4783
P018911,2023,726
P018912,2021,2937
P018913,2023,2398
P018914,2018,4869
P018915,2018,2327
P018916,2021,3306
P018917,2018,4037
P018918,2019,4014
P018919,2022,1555
P018920,2024,573
P018921,2023,3166
P018922,2018,3803
P018923,2022,2076
P018924,2018,325
P018925,2018,4024
P018926,2020,1998
P018927,2022,2459
P018928,2022,4187
P018929,2018,1165
P018930,2018,825
P018931,2022,2125
P018932,2020,3492
P018933,2018,518
P018934,2019,4863
P018935,2019,3256
P018936,2019,67
P018937,2021,2376
P018938,2020,589
P018939,2019,1089
P018940,2019,3024
P018941,2023,3136
P018942,2023,241
P018943,2021,505
P018944,2023,2376
P018945,2018,722
P018946,2019,3935
P018947,2019,4437
P018948,2023,279
P018949,2021,2108
P018950,2021,900
P018951,2024,4918
P018952,2019,1885
P018953,2018,3220
P018954,2018,354
P018955,2024,3615
P018956,2018,725
P018957,2018,3820
P018958,2024,1755
P018959,2023,1508
P018960,2024,3301
P018961,2019,3489
P018962,2019,3934
P018963,2022,4410
P018964,2018,862
P018965,2018,4140
P018966,2020,4572
P018967,2022,3780
P018968,2021,3107
P018969,2023,4867
P018970,2023,3571
P018971,2022,3219
P018972,2019,2069
P018973,2018,3759
P018974,2018,957
P018975,2022,2272
P018976,2021,626
P018977,2018,410
P018978,2023,4004
P018979,2022,1507
P018980,2023,4288
P018981,2019,2331
P018982,2022,1670
P018983,2024,3988
P018984,2023,774
P018985,2023,186
P018986,2020,2562
P018987,2019,2459
P018988,2021,1617
P018989,2024,4668
P018990,2019,3630
P018991,2021,3598
P018992,2021,2311
P018993,2020,2037
P018994,2018,2459
P018995,2021,876
P018996,2019,501
P018997,2020,426
P018998,2020,1747
P018999,2021,108
P019000,2024,1354
P019001,2020,329
P019002,2018,4625
P019003,2023,973
P019004,2018,1319
P019005,2022,4242
P019006,2020,4161
P019007,2023,1814
P019008,2020,2104
P019009,2020,1432
P019010,2023,1574
P019011,2019,4282
P019012,2024,2522
P019013,2020,657
P019014,2021,4678
P019015,2019,3399
P019016,2018,525
P019017,2020,2443
P019018,2023,1936
P019019,2024,4308
P019020,2024,2737
P019021,2021,4125
P019022,2022,430
P019023,2021,1307
P019024,2024,2118
P019025,2019,1846
P019026,2023,2010
P019027,2019,3502
P019028,2018,1145
P019029,2020,4699
P019030,2019,3426
P019031,2022,4350
P019032,2019,743
P019033,2018,3387
P019034,2019,3623
P019035,2024,2780
P019036,2023,1162
P019037,2021,3381
P019038,2020,3487
P019039,2023,255
P019040,2022,2859
P019041,2019,4797
P019042,2021,1779
P019043,2018,4228
P019044,2023,447
P019045,2022,3096
P019046,2019,1347
P019047,2022,514
P019048,2023,1897
P019049,2023,84
P019050,2023,756
P019051,2024,4026
P019052,2021,1789
P019053,2020,1743
P019054,2019,2471
P019055,2024,2230
P019056,2024,707
P019057,2019,4927
P019058,2022,4728
P019059,2022,4900
P019060,2020,3071
P019061,2022,386
P019062,2020,2351
P019063,2024,2645
P019064,2023,2696
P019065,2020,3171
P019066,2024,1822
P019067,2022,607
P019068,2020,2126
P019069,2022,4864
P019070,2020,1589
P019071,2020,1837
P019072,2018,820
P019073,2020,3358
P019074,2019,3854
P019075,2023,1196
P019076,2022,1117
P019077,2022,2676
P019078,2019,1337
P019079,2023,168
P019080,2023,219
P019081,2023,4942
P019082,2023,941
P019083,2023,4184
P019084,2024,1990
P019085,2023,1264
P019086,2023,2830
P019087,2022,2901
P019088,2019,2080
P019089,2022,743
P019090,2024,2662
P019091,2020,704
P019092,2022,4250
P019093,2023,4817
P019094,2020,1260
P019095,2024,1863
P019096,2023,3739
P019097,2020,4735
P019098,2024,1671
P019099,2023,3157
P019100,2020,3986
P019101,2024,517
P019102,2024,4916
P019103,2019,2158
P019104,2018,4209
P019105,2019,4458
P019106,2021,1373
P019107,2019,2410
P019108,2019,518
P019109,2019,3872
P019110,2024,4357
P019111,2019,4065
P019112,2019,2347
P019113,2021,4967
P019114,2020,4375
P019115,2024,3294
P019116,2020,1487
P019117,2022,801
P019118,2023,2648
P019119,2019,1098
P019120,2021,284
P019121,2021,3482
P019122,2023,4879
P019123,2018,2339
P019124,2018,3485
P019125,2022,1376
P019126,2024,1662
P019127,2019,762
P019128,2020,4385
P019129,2023,4041
P019130,2018,3542
P019131,2018,3107
P019132,2023,59
P019133,2020,2367
P019134,2018,375
P019135,2024,501
P019136,2020,4572
P019137,2021,91
P019138,2023,2147
P019139,2024,4698
P019140,2018,3551
P019141,2019,1025
P019142,2021,1799
P019143,2020,1726
P019144,2020,1889
P019145,2024,3664
P019146,2020,1637
P019147,2018,1273
P019148,2020,1368
P019149,2024,2789
P019150,2018,548
P019151,2024,2478
P019152,2021,2231
P019153,2024,1474
P019154,2020,3240
P019155,2021,3186
P019156,2024,2406
P019157,2024,1730
P019158,2018,3751
P019159,2019,4190
P019160,2022,3706
P019161,2023,979
P019162,2018,4561
P019163,2024,1948
P019164,2021,1928
P019165,2024,4378
P019166,2020,3132
P019167,2023,1832
P019168,2024,1090
P019169,2019,2166
P019170,2019,4173
P019171,2024,1912
P019172,2019,1362
P019173,2020,2046
P019174,2024,4024
P019175,2021,2938
P019176,2019,160
P019177,2021,1585
P019178,2020,508
P019179,2022,4138
P019180,2023,276
P019181,2018,4948
P019182,2020,794
P019183,2022,3522
P019184,2021,2824
P019185,2024,2230
P019186,2023,2467
P019187,2020,4109
P019188,2021,1367
P019189,2019,2439
P019190,2019,1399
P019191,2022,3806
P019192,2023,846
P019193,2019,801
P019194,2022,3392
P019195,2018,2737
P019196,2022,3813
P019197,2023,345
P019198,2019,2317
P019199,2020,1491
P019200,2018,2377
P019201,2020,3502
P019202,2020,1616
P019203,2020,3657
P019204,2018,3584
P019205,2023,4295
P019206,2022,1345
P019207,2022,735
P019208,2023,956
P019209,2019,1991
P019210,2018,4228
P019211,2018,3939
P019212,2023,3255
P019213,2023,4958
P019214,2021,1285
P019215,2024,4273
P019216,2020,373
P019217,2022,3369
P019218,2021,3396
P019219,2023,2815
P019220,2024,3797
P019221,2022,3099
P019222,2018,1432
P019223,2023,93
P019224,2022,2520
P019225,2021,4373
P019226,2022,1604
P019227,2023,1132
P019228,2020,3346
P019229,2020,2025
P019230,2023,3929
P019231,2018,2958
P019232,2019,1009
P019233,2018,1570
P019234,2020,1477
P019235,2022,4989
P019236,2021,2374
P019237,2022,4434
P019238,2021,1226
P019239,2018,1046
P019240,2022,3293
P019241,2023,3180
P019242,2024,209
P019243,2018,4097
P019244,2024,890
P019245,2018,3122
P019246,2021,438
P019247,2024,3889
P019248,2022,1811
P019249,2018,2124
P019250,2019,3086
P019251,2023,2160
P019252,2024,747
P019253,2019,3834
P019254,2019,677
P019255,2024,2778
P019256,2018,3770
P019257,2018,549
P019258,2022,1474
P019259,2023,2348
P019260,2018,3697
P019261,2018,2210
P019262,2023,3922
P019263,2022,3142
P019264,2019,1479
P019265,2019,2867
P019266,2023,2079
P019267,2019,3830
P019268,2021,433
P019269,2019,4692
P019270,2023,3035
P019271,2020,353
P019272,2020,4622
P019273,2018,2107
P019274,2019,4934
P019275,2020,1517
P019276,2023,2987
P019277,2023,2542
P019278,2021,3128
P019279,2022,3954
P019280,2020,2714
P019281,2021,197
P019282,2024,4825
P019283,2018,2006
P019284,2021,2905
P019285,2023,549
P019286,2018,1971
P019287,2022,2247
P019288,2024,3986
P019289,2021,2491
P019290,2018,4554
P019291,2022,4038
P019292,2020,399
P019293,2018,1514
P019294,2018,4117
P019295,2024,4517
P019296,2022,4462
P019297,2024,2776
P019298,2024,4867
P019299,2020,3092
P019300,2018,4921
P019301,2022,4082
P019302,2021,1064
P019303,2018,3250
P019304,2024,2228
P019305,2020,4706
P019306,2018,4874
P019307,2022,1762
P019308,2019,2005
P019309,2020,4831
P019310,2019,712
P019311,2024,3290
P019312,2024,918
P019313,2020,2250
P019314,2019,1469
P019315,2024,1545
P019316,2019,715
P019317,2022,556
P019318,2023,3373
P019319,2023,289
P019320,2023,1221
P019321,2018,3322
P019322,2022,2472
P019323,2024,4721
P019324,2021,1907
P019325,2020,1707
P019326,2023,3494
P019327,2024,1298
P019328,2020,4101
P019329,2018,2821
P019330,2024,3334
P019331,2022,4269
P019332,2020,1871
P019333,2018,448
P019334,2023,3708
P019335,2021,202
P019336,2019,4298
P019337,2018,2743
P019338,2019,4562
P019339,2024,3324
P019340,2019,2836
P019341,2019,2594
P019342,2020,4943
P019343,2024,2209
P019344,2021,4711
P019345,2019,4893
P019346,2021,1565
P019347,2023,2274
P019348,2024,1002
P019349,2020,3783
P019350,2020,121
P019351,2022,1513
P019352,2022,2229
P019353,2021,1596
P019354,2021,2562
P019355,2024,1627
P019356,2018,589
P019357,2020,927
P019358,2018,1646
P019359,2018,886
P019360,2018,4669
P019361,2018,818
P019362,2018,4983
P019363,2024,2192
P019364,2022,115
P019365,2022,1600
P019366,2024,728
P019367,2021,4412
P019368,2022,355
P019369,2023,362
P019370,2020,3120
P019371,2023,3247
P019372,2024,4545
P019373,2023,1396
P019374,2024,158
P019375,2018,1005
P019376,2024,3278
P019377,2020,2067
P019378,2018,1379
P019379,2018,1739
P019380,2021,4543
P019381,2020,1403
P019382,2024,1366
P019383,2018,4338
P019384,2019,3591
P019385,2020,1490
P019386,2021,2819
P019387,2024,3863
P019388,2020,786
P019389,2023,3252
P019390,2019,3976
P019391,2021,3612
P019392,2021,1874
P019393,2024,3454
P019394,2019,4716
P019395,2023,3284
P019396,2021,4335
P019397,2022,4289
P019398,2023,1393
P019399,2022,2748
P019400,2019,3540
P019401,2024,1521
P019402,2020,3336
P019403,2023,2977
P019404,2020,3151
P019405,2018,264
P019406,2018,4748
P019407,2019,4761
P019408,2024,3484
P019409,2020,2698
P019410,2024,3250
P019411,2018,869
P019412,2019,478
P019413,2024,4893
P019414,2021,3529
P019415,2024,4513
P019416,2020,1027
P019417,2019,4737
P019418,2019,1819
P019419,2019,3045
P019420,2019,1265
P019421,2020,2772
P019422,2022,2266
P019423,2023,1162
P019424,2022,231
P019425,2018,4544
P019426,2018,4456
P019427,2021,2601
P019428,2022,2312
P019429,2018,2297
P019430,2018,3598
P019431,2022,3319
P019432,2024,3761
P019433,2019,2533
P019434,2019,3832
P019435,2018,3508
P019436,2019,2268
P019437,2020,1272
P019438,2024,4050
P019439,2019,472
P019440,2024,855
P019441,2023,1390
P019442,2020,725
P019443,2020,1690
P019444,2024,2266
P019445,2020,3705
P019446,2019,734
P019447,2021,3413
P019448,2019,2340
P019449,2022,1699
P019450,2018,1133
P019451,2024,3037
P019452,2018,2486
P019453,2018,2707
P019454,2021,4750
P019455,2022,2239
P019456,2021,3722
P019457,2018,1842
P019458,2020,2502
P019459,2018,4054
P019460,2024,616
P019461,2018,4401
P019462,2020,3802
P019463,2018,2848
P019464,2018,4661
P019465,2024,2022
P019466,2021,1753
P019467,2024,3846
P019468,2019,3964
P019469,2021,702
P019470,2020,3013
P019471,2023,1718
P019472,2021,1299
P019473,2019,4358
P019474,2023,409
P019475,2019,1091
P019476,2019,499
P019477,2024,1250
P019478,2021,2327
P019479,2024,2426
P019480,2021,3020
P019481,2023,908
P019482,2018,3853
P019483,2024,4716
P019484,2020,2029
P019485,2022,3808
P019486,2021,3082
P019487,2023,4646
P019488,2024,3784
P019489,2021,3076
P019490,2019,1526
P019491,2022,4865
P019492,2018,4404
P019493,2018,3015
P019494,2024,1494
P019495,2024,3509
P019496,2019,3970
P019497,2021,3962
P019498,2020,4543
P019499,2023,1582
P019500,2019,2082
P019501,2022,1249
P019502,2022,2382
P019503,2022,2188
P019504,2020,992
P019505,2021,1380
P019506,2018,643
P019507,2019,1610
P019508,2024,2591
P019509,2021,1912
P019510,2020,1783
P019511,2018,3536
P019512,2020,224
P019513,2020,4137
P019514,2021,1917
P019515,2024,1233
P019516,2021,4541
P019517,2024,3358
P019518,2020,633
P019519,2024,4371
P019520,2022,689
P019521,2019,2029
P019522,2018,3441
P019523,2024,4924
P019524,2020,4553
